Recall_Strategy,Ranking_Strategy,K,Recall@20
C_Ens_KnnEaser,R_EASER,200,0.28089545595224924
C_Ens_KnnEaser,R_EASER,300,0.28089545595224924
C_Ens_KnnEaser,R_EASER,400,0.28089545595224924
C_Ens_KnnEaser,R_IALS,100,0.24443813044942583
C_Ens_KnnEaser,R_IALS,200,0.24198338080750637
C_Ens_KnnEaser,R_IALS,300,0.24137785570382805
C_Ens_KnnEaser,R_IALS,400,0.24121112246266171
C_Ens_KnnEaser,R_Fused_SlimEaser,100,0.2883559222839039
C_Ens_KnnEaser,R_Fused_SlimEaser,200,0.2883236353338959
C_Ens_KnnEaser,R_Fused_SlimEaser,300,0.28839587819417023
C_Ens_KnnEaser,R_Fused_SlimEaser,400,0.28844964774563103
C_Ens_KnnEaser,R_Fused_SlimIals,100,0.2878374933362108
C_Ens_KnnEaser,R_Fused_SlimIals,200,0.28834732291910464
C_Ens_KnnEaser,R_Fused_SlimIals,300,0.2886294223646507
C_Ens_KnnEaser,R_Fused_SlimIals,400,0.2888470982930028
C_Ens_IalsEaser,R_SLIM,100,0.28648636077206285
C_Ens_IalsEaser,R_SLIM,200,0.2861715543458679
C_Ens_IalsEaser,R_SLIM,300,0.2860323794191465
C_Ens_IalsEaser,R_SLIM,400,0.285992283404107
C_Ens_IalsEaser,R_EASER,100,0.28089545595224924
C_Ens_IalsEaser,R_EASER,200,0.28089545595224924
C_Ens_IalsEaser,R_EASER,300,0.28089545595224924
C_Ens_IalsEaser,R_EASER,400,0.28089545595224924
C_Ens_IalsEaser,R_IALS,100,0.24091423247365534
C_Ens_IalsEaser,R_IALS,200,0.24091423247365534
C_Ens_IalsEaser,R_IALS,300,0.24091423247365534
C_Ens_IalsEaser,R_IALS,400,0.24091423247365534
C_Ens_IalsEaser,R_Fused_SlimEaser,100,0.2883111710584157
C_Ens_IalsEaser,R_Fused_SlimEaser,200,0.28826126784624484
C_Ens_IalsEaser,R_Fused_SlimEaser,300,0.28829320454619
C_Ens_IalsEaser,R_Fused_SlimEaser,400,0.28829944875275354
C_Ens_IalsEaser,R_Fused_SlimIals,100,0.28621636108555637
C_Ens_IalsEaser,R_Fused_SlimIals,200,0.2874691065925529
C_Ens_IalsEaser,R_Fused_SlimIals,300,0.28801804858609553
C_Ens_IalsEaser,R_Fused_SlimIals,400,0.2883810929788426
C_Ens_All,R_SLIM,100,0.28648163905817214
C_Ens_All,R_SLIM,200,0.28615366994119595
C_Ens_All,R_SLIM,300,0.2860405929303057
C_Ens_All,R_SLIM,400,0.28599044139610186
C_Ens_All,R_EASER,100,0.28089545595224924
C_Ens_All,R_EASER,200,0.28089545595224924
C_Ens_All,R_EASER,300,0.28089545595224924
C_Ens_All,R_EASER,400,0.28089545595224924
C_Ens_All,R_IALS,100,0.24091423247365534
C_Ens_All,R_IALS,200,0.24091423247365534
C_Ens_All,R_IALS,300,0.24091423247365534
C_Ens_All,R_IALS,400,0.24091423247365534
C_Ens_All,R_Fused_SlimEaser,100,0.2883623327203057
C_Ens_All,R_Fused_SlimEaser,200,0.2883530735919234
C_Ens_All,R_Fused_SlimEaser,300,0.28841159888871043
C_Ens_All,R_Fused_SlimEaser,400,0.2884459271423789
C_Ens_All,R_Fused_SlimIals,100,0.287657334937134
C_Ens_All,R_Fused_SlimIals,200,0.28831492012464477
C_Ens_All,R_Fused_SlimIals,300,0.2886160606034189
C_Ens_All,R_Fused_SlimIals,400,0.2888348058909853
